ENGINE,DATA_FREE,VERSION,CHECK_TIME,TABLE_ROWS,TABLE_TYPE,CHECKSUM,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,TEMPORARY,INDEX_LENGTH,TABLE_SCHEMA,ROW_FORMAT,TABLE_NAME,TABLE_CATALOG,TABLE_COMMENT,CREATE_OPTIONS,MAX_DATA_LENGTH,TABLE_COLLATION,MAX_INDEX_LENGTH,AUTO_INCREMENT,AVG_ROW_LENGTH
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,INNODB_SYS_TABLESPACES,def,<blank>,max_rows=37220,134143200,utf8mb3_general_ci,0,NULL,3606
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,ROCKSDB_DEADLOCK,def,<blank>,max_rows=34432,134009342,utf8mb3_general_ci,0,NULL,3898
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,INNODB_BUFFER_PAGE,def,<blank>,max_rows=37744,134064756,utf8mb3_general_ci,0,NULL,3556
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,ROCKSDB_INDEX_FILE_MAP,def,<blank>,max_rows=44150,133863360,utf8mb3_general_ci,0,NULL,3040
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,user_variables,def,<blank>,max_rows=20240,134191547,utf8mb3_general_ci,0,NULL,6631
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,INNODB_TABLESPACES_ENCRYPTION,def,<blank>,max_rows=66675,134017488,utf8mb3_general_ci,0,NULL,2013
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,INNODB_LOCK_WAITS,def,<blank>,max_rows=265777,132382720,utf8mb3_general_ci,0,NULL,505
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,ROCKSDB_LOCKS,def,<blank>,max_rows=81492,134134974,utf8mb3_general_ci,0,NULL,1647
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,INNODB_SYS_FIELDS,def,<blank>,max_rows=651542,132927062,utf8mb3_general_ci,0,NULL,206
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,INNODB_FT_DELETED,def,<blank>,max_rows=14913080,75497472,utf8mb3_general_ci,0,NULL,9
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,INNODB_SYS_INDEXES,def,<blank>,max_rows=581029,133639044,utf8mb3_general_ci,0,NULL,231
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,THREAD_POOL_STATS,def,<blank>,max_rows=1579032,129642085,utf8mb3_general_ci,0,NULL,85
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,THREAD_POOL_GROUPS,def,<blank>,max_rows=4971026,113246208,utf8mb3_general_ci,0,NULL,27
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,ROCKSDB_PERF_CONTEXT_GLOBAL,def,<blank>,max_rows=227487,133764210,utf8mb3_general_ci,0,NULL,590
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,THREAD_POOL_WAITS,def,<blank>,max_rows=2314098,121634816,utf8mb3_general_ci,0,NULL,58
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,ROCKSDB_PERF_CONTEXT,def,<blank>,max_rows=57505,134102304,utf8mb3_general_ci,0,NULL,2334
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,INNODB_SYS_FOREIGN,def,<blank>,max_rows=76608,133607520,utf8mb3_general_ci,0,NULL,1752
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,INNODB_BUFFER_POOL_STATS,def,<blank>,max_rows=596523,130167900,utf8mb3_general_ci,0,NULL,225
